timestamp,machine_id,temperature,vibration,rpm,torque,operating_hours
2026-07-01 08:00,M001,66,1.8,1440,31,415
2026-07-01 10:00,M001,67,1.9,1445,31,417
2026-07-01 12:00,M001,68,2.0,1450,32,419
2026-07-01 14:00,M001,69,2.1,1455,32,421
2026-07-01 16:00,M001,70,2.2,1460,33,423
2026-07-01 08:00,M002,84,4.3,1570,38,865
2026-07-01 10:00,M002,86,4.6,1580,39,867
2026-07-01 12:00,M002,88,5.0,1590,40,869
2026-07-01 14:00,M002,90,5.4,1600,41,871
2026-07-01 16:00,M002,92,5.8,1610,42,873
2026-07-01 08:00,M004,94,5.8,1640,43,1095
2026-07-01 10:00,M004,97,6.1,1660,44,1097
2026-07-01 12:00,M004,100,6.5,1680,46,1099
2026-07-01 14:00,M004,103,6.8,1690,47,1101
2026-07-01 16:00,M004,106,7.2,1710,49,1103
2026-07-01 08:00,M006,101,6.6,1690,47,1395
2026-07-01 10:00,M006,105,7.0,1720,49,1397
2026-07-01 12:00,M006,109,7.4,1750,50,1399
2026-07-01 14:00,M006,113,7.8,1780,51,1401
2026-07-01 16:00,M006,117,8.3,1810,53,1403